id,station,year,wood,hsba,hstot,hspayn,hspa,cancov,moisture,decrate,bg,lap,per,po,ap,insect
116,36,one,oak,0,0,no,0,66.06181818,0.315249694,0,186.2886113,1.177424821,0,0.771880047,215.5092079,NA
117,37,one,oak,5.527790468,1,yes,1,63.43954545,0.297405897,0,90.31954887,0.129485818,0,0.5468043,186.214777,NA
118,38,one,oak,0.340297539,4,yes,1,62.229,0.292362195,0,180.344491,0.375768978,2.134609129,1.343295016,247.553341,NA
119,39,one,oak,1.03054571,2,yes,1,62.133,0.284158108,0,30.28665414,0.562069492,1.080010571,0.681044309,377.3157021,NA
120,40,one,oak,20.58009295,1,yes,1,63.02,0.308098224,0,427.4562374,0.051812325,3.292973409,1.399675819,973.3263064,NA
121,1,two,control,0,0,no,0,65.065,0.481082045,0.053708991,NA,NA,NA,NA,NA,NA
122,2,two,control,0.980488678,3,yes,1,66.35136364,0.388727611,0.068037158,NA,NA,NA,NA,NA,NA
123,3,two,control,0.877044412,4,yes,1,66.48409091,0.588253226,0.057453449,NA,NA,NA,NA,NA,NA
124,4,two,control,0,0,no,0,65.41363636,0.40453177,0,NA,NA,NA,NA,NA,NA
125,5,two,control,0.171526249,3,yes,1,64.60136364,0.599065035,0.106616601,NA,NA,NA,NA,NA,NA
126,6,two,control,0.779328077,7,yes,1,67.03681818,0.328194437,0.023483585,NA,NA,NA,NA,NA,NA
127,7,two,control,0.039759609,2,yes,1,68.20727273,0.562014505,0.059032451,NA,NA,NA,NA,NA,NA
128,8,two,control,1.057711831,8,yes,1,67.61227273,0.616717573,0.030485304,NA,NA,NA,NA,NA,NA
129,9,two,control,0.645138527,3,yes,1,65.1885,0.635034338,0.111688077,NA,NA,NA,NA,NA,NA
130,10,two,control,0,0,no,0,69.44727273,0.574143031,0.046888739,NA,NA,NA,NA,NA,NA
131,11,two,control,0,0,no,0,69.59318182,0.567791462,0.212678189,NA,NA,NA,NA,NA,NA
132,12,two,control,0,0,no,0,68.80863636,0.601962515,0.0613507,NA,NA,NA,NA,NA,NA
133,13,two,control,0.378264874,2,yes,1,67.59681818,0.663957842,0.052571971,NA,NA,NA,NA,NA,NA
134,14,two,control,0,0,no,0,68.85863636,0.67863739,0.113752754,NA,NA,NA,NA,NA,NA
135,15,two,control,0,0,no,0,68.14590909,0.640662952,0.025741833,NA,NA,NA,NA,NA,NA
136,16,two,control,0.327749554,6,yes,1,66.12136364,0.612466748,0.057133417,NA,NA,NA,NA,NA,NA
137,17,two,control,2.25307521,4,yes,1,64.36181818,0.664157938,0.058362244,NA,NA,NA,NA,NA,NA
138,18,two,control,3.583270296,4,yes,1,59.46090909,0.612084503,0.034305795,NA,NA,NA,NA,NA,NA
139,19,two,control,4.79472801,6,yes,1,66.61954545,0.688556319,0.075315821,NA,NA,NA,NA,NA,NA
140,20,two,control,2.247093156,4,yes,1,61.34227273,0.654657649,0.088973805,NA,NA,NA,NA,NA,NA
141,21,two,control,1.190771264,6,yes,1,66.48727273,0.390966028,0.060694561,NA,NA,NA,NA,NA,NA
142,22,two,control,2.879873388,11,yes,1,68.28136364,0.403199269,0.047558228,NA,NA,NA,NA,NA,NA
143,23,two,control,7.153976696,9,yes,1,69.37681818,0.571842526,0.029107023,NA,NA,NA,NA,NA,NA
144,24,two,control,8.831770859,5,yes,1,68.95727273,0.641729163,0.036384881,NA,NA,NA,NA,NA,NA
145,25,two,control,1.116145118,8,yes,1,65.09363636,0.677340455,0.088112511,NA,NA,NA,NA,NA,NA
146,26,two,control,1.403387029,4,yes,1,64.83636364,0.660194718,0.042997324,NA,NA,NA,NA,NA,NA
147,27,two,control,1.132637046,10,yes,1,65.72090909,0.622854463,0.072963851,NA,NA,NA,NA,NA,NA
148,28,two,control,0.559981297,5,yes,1,65.6335,0.682061281,0.075089563,NA,NA,NA,NA,NA,NA
149,29,two,control,0.235277756,3,yes,1,67.52318182,0.450018798,0.001951269,NA,NA,NA,NA,NA,NA
150,30,two,control,0.69888776,3,yes,1,68.06,0.669425359,0.101413672,NA,NA,NA,NA,NA,NA
151,31,two,control,1.576945823,3,yes,1,67.54,0.599027037,0.006223599,NA,NA,NA,NA,NA,NA
152,32,two,control,0.367442406,1,yes,1,67.99409091,0.547832635,0.032931826,NA,NA,NA,NA,NA,NA
153,33,two,control,6.032632071,4,yes,1,64.99727273,0.569483523,0.035810103,NA,NA,NA,NA,NA,NA
154,34,two,control,1.710999126,3,yes,1,68.22636364,0.626612778,0.044259594,NA,NA,NA,NA,NA,NA
155,35,two,control,7.061308392,4,yes,1,67.13545455,0.656728998,0.063611348,NA,NA,NA,NA,NA,NA
156,36,two,control,0,0,no,0,66.06181818,0.670563135,0.114944636,NA,NA,NA,NA,NA,NA
157,37,two,control,5.527790468,1,yes,1,63.43954545,0.620415711,0.046890681,NA,NA,NA,NA,NA,NA
158,38,two,control,0.340297539,4,yes,1,62.229,0.667266077,0.055773567,NA,NA,NA,NA,NA,NA
159,39,two,control,1.03054571,2,yes,1,62.133,0.600880585,0.040984553,NA,NA,NA,NA,NA,NA
160,40,two,control,20.58009295,1,yes,1,63.02,0.611011502,0.054306679,NA,NA,NA,NA,NA,NA
161,1,two,insect,0,0,no,0,65.065,0.321964376,0.093362271,NA,NA,NA,NA,NA,0
162,2,two,insect,0.980488678,3,yes,1,66.35136364,0.470481616,0.063180975,NA,NA,NA,NA,NA,0
163,3,two,insect,0.877044412,4,yes,1,66.48409091,0.490651865,0.058628735,NA,NA,NA,NA,NA,0
164,4,two,insect,0,0,no,0,65.41363636,0.550207469,0.018902229,NA,NA,NA,NA,NA,0
